"","Lambdas","RMSE"
"1",0,13.7538192567929
"2",1,13.7878010968899
"3",2,13.8222577442809
"4",3,13.8563973687951
"5",4,13.8905714886629
"6",5,13.9248325582553
"7",6,13.9591731410518
"8",7,13.9935762939185
"9",8,14.0280241346655
"10",9,14.0624989315489
"11",10,14.0969831980377
"12",11,14.1314598096444
"13",12,14.1659121888255
"14",13,14.2003244926011
"15",14,14.2346817623815
"16",15,14.2689700235565
"17",16,14.3031763376131
"18",17,14.3372888154749
"19",18,14.371296601834
"20",19,14.4051898392473
"21",20,14.4389596191076
